_id,lng,lat,price,title,description,img_collection[0],img_collection[1],img_collection[2],img_collection[3],phone,address,catagory,features,uid,uName,uEmail,uPhone,createdAt,updatedAt,__v
64c387aefc06642f2440febe,85.333417,27.703133,10500,Five Star Boys Hostel,"Five Star Boys Hostel one of the hostels in Kathmandu located in Maitidevi gains popularity day by day by servicing its students, providing required facilities, and making them involved in different creative activities. Prices: Single Seater - Rs.16000, 2 Seater - Rs.11500, 3 Seater - Rs.11000, 4 Seater - Rs.10500.",http://localhost:8000/uploads/2023-07-28T09-18-00.691Z-5Star2.png,,,,9851143060,"Maitidevi, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Hot and Cold water,Laundary,Wifi,Locker room,Parking Lot,Security Guard,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:17:34.719Z,2023-07-28T09:18:00.698Z,1
64c38877fc06642f2440fec9,85.32720225580238,27.705343214110428,9500,Third Eyes Boys Hostel,"Third Eye Boys Hostel offers you services like internet and wifi where there will be 24-hour electricity and a hostel warden to monitor the hostelers. This hostel is positioned in Dillibazar, Kathmandu.",http://localhost:8000/uploads/2023-07-28T09-20-55.147Z-20220624_165641 (1).jpg,,,,9813213275,"Bhojan Griha, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Hot and Cold water,Laundary,Wifi,Locker room,Security Guard,Parking Lot,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:20:55.154Z,2023-07-28T09:20:55.154Z,0
64c388dbfc06642f2440fecc,85.3305465,27.7089777,9500,Shivam Boys Hostel,"Shivam Boys Hostel is located in Gyaneshwor, this hostel provides different facilities such as 24 hours electricity with free internet and wifi services, laundry, and a warden with a peaceful environment.",http://localhost:8000/uploads/2023-07-28T09-23-20.752Z-shivam2.png,http://localhost:8000/uploads/2023-07-28T09-23-20.754Z-shivam.png,,,9843614535,"Galaxy Public School, Dillibajar, Kathmandu, Bagmati, Nepal",Boys hostel,"Hot and Cold water,24 hours electricity,Laundary,Wifi,Locker room,Parking Lot,Security Guard,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:22:35.241Z,2023-07-28T09:23:20.759Z,1
64c389d6fc06642f2440fed7,85.32855413470588,27.706302534601946,9499,Nepzone Boys Hostel,"Nepzone Boys Hostel is located at the very core area of Kathmandu city. Nepzone Boys Hostel delivers a safe, secured, and admirably hospitable student environment. It may be the best choice for students who are near Dillibazar Area.",http://localhost:8000/uploads/2023-07-28T09-26-46.938Z-img_1Z1vl6C5s.jpg,,,,9810312526," Charkhal, Dillibazar, Kathmandu, Bagmati, Nepal",Boys hostel,"CCTV,Security Guard,Parking Lot,Locker room,Wifi,Laundary,Hot and Cold water",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:26:46.944Z,2023-07-28T09:26:46.944Z,0
64c38b06fc06642f2440feda,85.32822133251102,27.70482087947633,10000,Samunnati Boys Hostel,"Samunnati Boys Hostel can provide a comfortable settlement, Hygienic Food, Laundry Service, and Peaceful Environment. It is the best place for students searching for a preferable hostel in Dillibazar.\r\nPrices: Rs.10000 - 4 Seater, Rs.10500 - 3 Seater, Rs.11500 - 2 Seater, Rs.14000 - Single Seater, Rs.9000 - Small Single Seater.",http://localhost:8000/uploads/2023-07-28T09-31-50.429Z-9a39f821-35ff-464c-bdc6-6fbd81835a20.jpeg,,,,9841448851,"Dillibazar, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Hot and Cold water,Laundary,Wifi,Locker room,Parking Lot,Security Guard,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:31:50.433Z,2023-07-28T09:31:50.433Z,0
64c38baffc06642f2440fedd,85.323574,27.705715,9998,City Delux Boys Hostel,"City Deluxe Boys Hostel is located at New Plazza Road, Putalisadak. This hostel has all kinds of facilities like free Wi-Fi, a locker room, hot water, and 24-hour electricity.",http://localhost:8000/uploads/2023-07-28T09-34-39.379Z-cityd (1).png,http://localhost:8000/uploads/2023-07-28T09-34-39.381Z-cityd2.png,http://localhost:8000/uploads/2023-07-28T09-34-39.383Z-cityd5.png,http://localhost:8000/uploads/2023-07-28T09-34-39.386Z-cityd6.png,9851128131," Putalisadak, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Hot and Cold water,Wifi,Laundary,Locker room,Parking Lot,Security Guard,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:34:39.392Z,2023-07-28T09:34:39.392Z,0
64c38c59fc06642f2440fee0,85.32857352578532,27.701491760516163,11000,Yakso Boys Hostel,"Yakso Boys Hostel offers affordable and comfortable living spaces to the students. Located in Ghattekulo, Anamnagar which is close to many Schools, Colleges, Academic Institutes, Supermarkets, and Restaurants.",http://localhost:8000/uploads/2023-07-28T09-37-29.010Z-yakso9.png,http://localhost:8000/uploads/2023-07-28T09-37-29.013Z-yakso3.png,http://localhost:8000/uploads/2023-07-28T09-37-29.015Z-yakso5.png,,9864253870,"Anamnagar, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Laundary,Hot and Cold water,Wifi,Locker room,Parking Lot,Security Guard,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:37:29.018Z,2023-07-28T09:37:29.018Z,0
64c38cd4fc06642f2440fee3,85.340689,27.70204,9498,Siddhababa Boys Hostel,"Sidhababa Boys Hostel is well known for providing the facilities such as 24 hours electricity, laundry, internet and wifi along with a proper guidance from the hostel warden.",http://localhost:8000/uploads/2023-07-28T09-39-32.790Z-19787329_1957408701184300_7460211654242195374_o.jpg,,,,9841483870,"NEA Baneshwor Center, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Hot and Cold water,Laundary,Wifi,Locker room,Parking Lot,Security Guard,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:39:32.802Z,2023-07-28T09:39:32.802Z,0
64c38d80fc06642f2440fee6,85.323574,27.705715,9499,Samul Boys Hostel ,"Samul Boys Hostel offers you services like internet and wifi where there will be 24hours of electricity and a hostel warden to monitor the hostelers. This hostel is positioned in New Plazza, Putalisadak, Kathmandu.",http://localhost:8000/uploads/2023-07-28T09-42-24.428Z-shamul1.png,,,,9851091328,"Putalisadak, Putalisadak, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Hot and Cold water,Laundary,Wifi,Locker room,Parking Lot,Security Guard,CCTV,Balcony/Terrace,Halal Food ",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:42:24.433Z,2023-07-28T09:42:24.433Z,0
64c38fc5fc06642f2440fef7,85.32889914436839,27.692925584747698,10000,Peaceful Girls Hostel,"Peaceful Girls Hostel facilitate to Easy access on all public transport, is located on anamnagar. It can also facilitate on services like 24 hours electricity, peaceful environment and soon.",http://localhost:8000/uploads/2023-07-28T09-52-05.566Z-1.jpg,,,,9848020260,"Bhatbhateni Super Market, Kathmandu, Bagmati, Nepal",Girls hostel,"24 hours electricity,Hot and Cold water,Wifi,Laundary,Locker room,Parking Lot,CCTV,Security Guard",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:52:05.570Z,2023-07-28T09:52:05.570Z,0
64c3916ffc06642f2440fefc,85.33239772622261,27.70387973850174,9500,Balaji Boys Hostel,"Balaji Boys Hostel has focuses on preparing the family type environment with satisfactory facilities like 24hrs Electricity& Wi Fi, Attached Toilet/Bathroom, Hot & Cold Showers, Parking Spaces etc.",http://localhost:8000/uploads/2023-07-28T09-59-11.032Z-balaji1.png,,,,9851208812,"Maitidevi, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Hot and Cold water,Laundary,Wifi,Locker room,Parking Lot,Security Guard,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T09:59:11.039Z,2023-07-28T09:59:11.039Z,0
64c39289fc06642f2440feff,85.32671875028973,27.690673596102812,9500,New Hill Boys Hostel,"New Hill Boys Hostel services the student with the facilities of laundry, internet, and wifi along with the guidance of a friendly hostel warden. It is located in a convenient and peaceful environment at Hanumansthan, Kathmandu. It has been providing its services for the last 16 years. Nearby Places Deneb academy. Baneshwor Banquet, Eyeplex Mall, etc.\r\nPricing: One Seater: 12500, Two Seater: 10500, Three Seater: 9500.",http://localhost:8000/uploads/2023-07-28T10-03-53.218Z-Screenshot-(5).png,,,,9843284724," Babarmahal, Kathmandu, Bagmati, Nepal",Boys hostel,"24 hours electricity,Hot and Cold water,Laundary,Wifi,Locker room,Parking Lot,Security Guard,CCTV",64bd52dadb1d17cc33ae50f1,dhamisuraj,dhami@gmail.com,9860547079,2023-07-28T10:03:53.221Z,2023-07-28T10:03:53.221Z,0
